id,ra,dec,ra_error,dec_error,nobs_b,mag_b,err_mag_b,nobs_v,mag_v,err_mag_v,nobs_u,mag_u,err_mag_u,nobs_g,mag_g,err_mag_g,nobs_r,mag_r,err_mag_r,nobs_i,mag_i,err_mag_i,nobs_z_s,mag_z_s,err_mag_z_s,nobs_y,mag_y,err_mag_y
125-0726766,301.597463,35.531496,7.361111e-05,4.777778e-05,2,16.277,0.002,2,15.482,0.011,0,,,2,15.797,0.037,2,15.256,0.017,2,14.979,0.018,0,,,0,,
125-0726980,301.614374,35.518983,9.0277776e-05,0.00011083333,1,17.158,0.126,1,16.131,0.084,0,,,1,16.45,0.137,1,15.758,0.121,0,,,0,,,0,,
125-0727053,301.620087,35.516095,0.00010777778,2.888889e-05,2,13.069,0.014,2,11.88,0.014,0,,,2,12.461,0.012,2,11.413,0.007,3,10.859,0.019,1,10.539,0.012,0,,
125-0727197,301.631951,35.515948,6.611111e-05,3.4444445e-05,1,17.104,0.115,1,15.212,0.042,0,,,2,16.124,0.045,2,14.593,0.023,2,13.831,0.015,0,,,0,,
125-0726911,301.608192,35.531379,4.8055554e-05,4.2777778e-05,2,13.604,0.011,2,12.371,0.006,0,,,2,12.934,0.016,2,11.981,0.011,2,11.56,0.004,1,11.358,0.022,0,,
125-0727109,301.624691,35.523319,4.5555556e-05,3.0000001e-05,1,15.673,0.037,1,14.92,0.031,0,,,1,15.227,0.019,1,14.684,0.03,1,14.424,0.055,0,,,0,,
125-0727339,301.644612,35.52102,0.00011638889,3.0277777e-05,0,,,0,,,0,,,1,17.315,0.117,1,16.524,0.15,0,,,0,,,0,,
125-0723871,301.376017,35.655839,4.6666664e-05,4e-05,1,17.094,0.117,1,15.995,0.079,0,,,1,16.539,0.056,1,15.635,0.072,1,15.153,0.09,0,,,0,,
125-0723989,301.384799,35.642087,7.8888894e-05,3.6666668e-05,0,,,0,,,0,,,1,17.31,0.121,1,16.199,0.119,1,15.588,0.141,0,,,0,,
125-0723902,301.378366,35.648618,0.00011833333,4.777778e-05,1,16.931,0.102,1,15.543,0.052,0,,,2,16.23,0.076,2,15.103,0.026,2,14.541,0.012,0,,,0,,
125-0724027,301.387384,35.645392,9.611111e-05,0.000103888895,1,17.178,0.128,1,15.656,0.06,0,,,1,16.412,0.05,1,15.092,0.042,1,14.455,0.051,0,,,0,,
125-0724164,301.397167,35.642337,8.4722225e-05,4.9444447e-05,0,,,0,,,0,,,2,16.778,0.21,2,15.351,0.048,2,14.552,0.004,0,,,0,,
125-0724081,301.391137,35.645589,4.75e-05,3.6388887e-05,1,16.991,0.109,1,15.33,0.046,0,,,1,16.063,0.036,1,14.69,0.029,1,14.042,0.036,0,,,0,,
125-0723747,301.365943,35.662143,0.00029194445,5.6111112e-05,1,16.989,0.115,1,15.906,0.076,0,,,2,16.502,0.11,2,15.686,0.058,2,15.514,0.022,0,,,0,,
125-0723804,301.370815,35.66558,2.777778e-07,1.9166666e-05,0,,,0,,,0,,,1,17.153,0.101,1,16.335,0.125,0,,,0,,,0,,
125-0723683,301.360781,35.672685,3.75e-05,6.0000002e-05,0,,,0,,,0,,,1,17.705,0.164,1,16.333,0.135,0,,,0,,,0,,
125-0723798,301.370461,35.668524,8.0555554e-05,3.2777778e-05,1,17.647,0.204,1,16.931,0.182,0,,,1,17.184,0.101,1,16.462,0.138,0,,,0,,,0,,
125-0723918,301.379136,35.664117,2.3055554e-05,3.2777778e-05,2,14.285,0.02,2,12.59,0.012,0,,,2,13.431,0.026,2,11.984,0.008,2,11.27,0.005,1,10.802,0.015,0,,
125-0723890,301.377746,35.669849,4e-05,7e-05,2,16.209,0.009,2,15.399,0.074,0,,,2,15.708,0.019,2,15.069,0.061,2,14.745,0.038,0,,,0,,
125-0724470,301.42159,35.632049,9e-05,3.138889e-05,1,17.59,0.244,1,16.592,0.169,0,,,1,16.916,0.121,1,16.496,0.183,1,16.44,0.301,0,,,0,,
125-0723844,301.373301,35.682254,5.222222e-05,2.8333332e-05,0,,,0,,,0,,,1,17.516,0.134,1,16.592,0.15,0,,,0,,,0,,
125-0723786,301.369185,35.689545,0.00010527778,6.0000002e-05,1,17.471,0.159,1,16.547,0.114,0,,,1,17.063,0.078,1,16.11,0.085,1,15.819,0.146,0,,,0,,
125-0723937,301.381527,35.67601,2.5e-06,4.6388886e-05,0,,,0,,,0,,,1,17.479,0.127,1,16.531,0.153,0,,,0,,,0,,
125-0723661,301.359364,35.697797,3.611111e-05,7.305556e-05,0,,,0,,,0,,,1,17.38,0.115,1,16.358,0.121,1,16.236,0.234,0,,,0,,
